id,name,radius,sprite,x,y,vx,vy,mass
0,Sun,695700000,sun.png,6.441757626170869E+05,2.748574193083150E+05,-3.151182294410308E-03,9.185185855798372E-03,1988410E24
8,Mercury,2439000.4,mercury.png,3.901547864252885E+07,2.904511091541058E+07,-3.879081706462378E+01,4.110223746785689E+01,3.302E23
6,Venus,6051000.84,venus.png,-4.733137613679934E+06,-1.083207829668986E+08,3.473833166328426E+01,1.856561976890404E+00,48.685E23
5,Earth,6371000.01,earth.png,-2.636325281664319E+07,1.448755595665834E+08,-2.977359332346846E+01,5.558856873032465E+00,5.97219E24
7,Mars,3389000.92,mars.png,1.990266302548008E+08,7.450409773498876E+07,-7.560777232017735E+00,2.477045044313686E+01,6.4171E23
1,Jupiter,69911000,jupiter.png,-7.490060011215501E+08,-3.198963890707946E+08,4.979372534021475E+00,-1.140864403211907E+01,18.9819E26
2,Saturn,58232000,saturn.png,1.083450261191144E+09,8.513589319201734E+08,-6.490272489115599E+00,7.575137285707728E+00,5.6834E26
4,Uranus,25362000,uranus.png,-2.723971384599735E+09,-2.891267488537425E+08,6.680815812265233E-01,-7.089917110791433E+00,86.813E24
3,Neptune,24624000,neptune.png,-2.327426927552775E+09,-3.890812900369158E+09,4.630808491540647E+00,-2.758231438871036E+00,102.409E24
